"Story","Title","Result","Date","Stability","Duration (s)"
"Posts CRUD test","Create a new post for the user","SUCCESS","2023-01-10T17:24:46.419Z[Europe/London]","0.0","2.85"
"Posts CRUD test","Verify that post was added for the user","SUCCESS","2023-01-10T17:24:49.272Z[Europe/London]","0.0","1.03"
"Posts CRUD test","Update the post title","SUCCESS","2023-01-10T17:24:50.304Z[Europe/London]","0.0","0.91"
"Posts CRUD test","Delete the post","SUCCESS","2023-01-10T17:24:51.212Z[Europe/London]","0.0","1.37"
"Users CRUD test","Create a new User","SUCCESS","2023-01-10T17:24:52.667Z[Europe/London]","0.0","0.54"
"Users CRUD test","Verify that user added successfully","SUCCESS","2023-01-10T17:24:53.212Z[Europe/London]","0.0","0.44"
"Users CRUD test","Update user details","SUCCESS","2023-01-10T17:24:53.658Z[Europe/London]","0.0","0.51"
"Users CRUD test","Delete the user","SUCCESS","2023-01-10T17:24:54.170Z[Europe/London]","0.0","1.49"
"Testing different request on the gorest users","Check user is created","SUCCESS","2023-01-10T17:24:55.730Z[Europe/London]","0.0","0.64"
"Testing different request on the gorest users","Get created user with userId","SUCCESS","2023-01-10T17:24:56.473Z[Europe/London]","0.0","0.42"
"Testing different request on the gorest users","Update created user with userId","SUCCESS","2023-01-10T17:24:56.913Z[Europe/London]","0.0","0.49"
"Testing different request on the gorest users","Delete created user","SUCCESS","2023-01-10T17:24:57.445Z[Europe/London]","0.0","0.47"
